Name,StartingLetter,Ethnicity,Region,Religion,Gender,NumerologyConstraints
Aachman,A,European,Asia,Hinduism,M,1
Aadesh,A,African,Asia,Islam,M,2
Aadi,A,French,Asia,Christianity,M,3
Aafreen,A,Iris,Asia,Sikhism,M,4
Aakar,A,European,Asia,Buddhism,M,5
Aakash,A,African,Asia,Jainism,M,6
Aalap,A,French,Asia,Zoroastrianism,M,7
Aashika,A,Iris,Asia,Hinduism,F,8
Abha,A,European,Asia,Islam,F,9
Abhati,A,African,Asia,Christianity,F,1
Abhaya,A,French,Asia,Sikhism,F,2
Abhidha,A,Iris,Asia,Buddhism,F,3
Abhidhya,A,European,Asia,Jainism,F,4
Abhijna,A,African,Asia,Zoroastrianism,F,5
Adarsh,A,French,Asia,Hinduism,M,1
Atish,A,Iris,Asia,Islam,M,2
Ankit,A,European,Asia,Christianity,M,3
Adi,A,African,Asia,Sikhism,M,4
Abhi,A,French,Asia,Buddhism,M,1
Ashok,A,Iris,Asia,Jainism,M,2
Ani,A,European,Asia,Zoroastrianism,M,3
Adesh,A,African,Asia,Hinduism,F,4
Atin,A,French,Asia,Islam,F,1
Adarsh,A,Iris,Asia,Christianity,F,2
Atif,A,European,Asia,Sikhism,F,3
Afrid,A,African,Asia,Buddhism,F,4
Anwesh,A,French,Asia,Jainism,F,1
Adik,A,Iris,Asia,Zoroastrianism,F,2
Adin,A,European,Asia,Hinduism,M,3
Ani,A,African,Asia,Islam,M,4
Adesh,A,French,Asia,Christianity,M,1
Atin,A,Iris,Asia,Sikhism,M,2
Aad,A,European,Asia,Buddhism,M,3
Asin,A,African,Asia,Jainism,M,4
Asini,A,French,Asia,Zoroastrianism,M,1
Aswini,A,Iris,Asia,Hinduism,F,2
Abhi,A,European,Asia,Islam,F,3
Ashok,A,African,Asia,Christianity,F,4
Ani,A,French,Asia,Sikhism,F,1
Adesh,A,Iris,Asia,Buddhism,F,2
Abacus,A,European,Asia,Jainism,F,3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
